Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Shermans Creek Watershed Monitoring Program,"To monitor the health of the Shermans Creek, especially because of increasing economic and residential development",Both,North America,NGO,North America,1998,Ongoing,<100 km,Freshwater,"Bacteria, macroinvertebrates",No,NA,NA,All,lab review,Some,Unknown,Unknown,Unknown,Unknown,2010,Anyone interested,Yes,training,in-person,Yes,training,in-person,0,Unknown,NA,http://www.shermanscreek.org/monitoringprogram.htm,Scistarter,2012-03-03
Sky Island Alliance: Wildlife linkages program,"A Sky Island Alliance program since 1995, we now boast over 80 dedicated, trained volunteers who monitor the presence of six focal species in select areas within these movement corridors By training and mobilizing concerned citizens and volunteers, we are able to shed light on little-known movement patterns of specific wildlife species within the Sky Island region Our approach is unique in its incorporation of ""citizen scientists,"" building grassroots support for protection campaigns that is dovetailed with conservation biology research The collected data is now being used to advocate for the protection of verified wildlife corridors between mountain ranges Our volunteers collect data by conducting ""track surveys"" where they search for and document signs left by wildlife They follow strict guidelines and adhere to a six-week survey interval to ensure the scientific viability of our data ",Data,North America,NGO,North America,1995,Ongoing,<1000 km,Terrestrial,"Bears, cougars, badgers",No,NA,NA,Some,Photo,None,All,Unknown,Unknown,80,2011,"Anyone interested, must attend 5 day training",Yes,in-person training and electronic resources,combo,Yes,in-person training and electronic resources,combo,0,Unknown,NA,http://www.skyislandalliance.org/wildlife.htm#volunteering,other,2012-05-25
Sky Island Alliance: Riparian Inventory and Monitoring Program ,Inventory and monitoring,Data,North America,NGO,North America,2002,Ongoing,Unknown,"Terrestrial, freshwater","Plants, birds, fish, macroinvertebrates,  vegetation",Some,NA,NA,Some,Photo,Some,All,Unknown,Unknown,200,2009,Anyone interested capable of attending  a training and committing to long term involvement,Yes,workshop,in-person,Yes,Workshop,in-person,0,Unknown,NA,http://www.skyislandalliance.org/wildlife.htm#volunteering,EPA,2012-03-30
Slime Moulds of the World,To look at the distribution patterns of slime mould around the world,Data,Oceania,Individual,Global,2012,Ongoing,>10000 km,Terrestrial,Slime moulds,No,NA,NA,Some,Photo,All,None,14,1,14,2012,Unknown,No,NA,NA,Yes,"photo, iNaturalist site",electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/slime-moulds-of-the-world,iNaturalist,2012-05-25
South American Anoles,Let's map the distribution of the most diverse lizard group in the neotropics This will help create knowledge on one of the most difficult to identify genus of lizards,Data,South America,Individual,South America,2011,Ongoing,<1000 km,Terrestrial,Lizards,No,NA,NA,All,Photo,All,None,2,1,2,2011,Anyone interested,No,NA,NA,Yes,Links to wikipedia & photos,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/south-american-anoles,iNaturalist,2012-05-18
South American Wildlands and Biodiversity,"Pacific Biodiversity Institute (PBI) is seeking volunteers to help identify, describe and protect wldland complexes and roadless areas in South America Volunteers will use Google Earth to identify and map existing roads in areas of ArgentiNA, Chile and Bolivia In addition, field volunteers are needed in South America to visit these areas on the ground and confirm the accuracy of the maps See a discussion of our initiative, South American Wildlands and Biodiversity for a more complete description of this effort",Data,North America,NGO,South America,2010,ongoing,<1000 km,Terrestrial,Trees,No,"Measure area of pp coverage, wildlands",NA,All,photo and expert present,Some,All,Unknown,Unknown,Unknown,Unknown,Adults,Yes,in-person training and online,combo,Yes,in-person training and online,combo,0,Unknown,NA,http://www.pacificbio.org/helpout/volunteer-south-america.html,Scistarter,2012-02-21
South Asian Bat Monitoring Program,"The South Asian Bat Monitoring Program relies on volunteers who identify Indian flying fox bats and commit to studying them and obtaining population information on a regular basis It consists entirely of volunteers and is the first such network to monitor the population of a species in South Asia The information from all these sites will be compiled and aNAlyzed for trends in the population of Indian flying fox (Pteropus giganteus), identify key threats to roosts and provide recommendations for their conservation

The program aims to create awareness about bat conservation issues, involve and educate biologists and NAture-lovers in studies about the biology of bats, and establish a conservation action plan The Program will initially focus on one species, Pteropus giganteus, as it is the most known and recognizable bat species in South Asia",Both,Asia,Government,Asia,2005,Ongoing,Unknown,Terrestrial,Flying fox (Pteropus giganteus) ,No,NA,NA,None,NA,Unknown,Some,Unknown,Unknown,Unknown,Unknown,No children,Yes,online,electronic,No,NA,NA,0,Unknown,NA,http://www.pterocount.org/,Scistarter,
South Branch Watershed Association Biological Monitoring Program,"Goals - research, education, restoration, stewardship, protection",Both,North America,NGO,North America,1994,Ongoing,<100 km,Freshwater,Benthic macroinvertebrates,No,NA,NA,All,Expert & specimen,Some,All,100,15,19,2009,Anyone interested,Yes,in-person events,in-person,Yes,in-person events,in-person,0,Unknown,NA,http://www.raritanheadwaters.org/,Cornell Citizen Science Central,2012-05-02
Spotted Wing Drosophila*Volunteer Monitoring Network,"The goal of the Spotted Wing Drosophila*Volunteer Monitoring Network (SWD*VMN) is to the track the movement and seasoNAl biology of the spotted wing drosophila (SWD, Drosophila suzukii)",Data,North America,Academic,North America,Unknown,Ongoing,<10000 km,Terrestrial,Drosophila suzuki,Yes,NA,NA,Some,Specimen collection,Some,None,Unknown,Unknown,Unknown,Unknown,"Extension specialists, county extension agents, fruit growers, state department of agriculture personnel, and other stakeholders",Yes,"webinars, in-person workshop, online resources",combo,Yes,"webinars, in-person workshop, online resources",combo,0,Unknown,NA,Unknown,NA,
St. Louis River Watch ,"To provide environmental education opportunities to students and their teachers by offering a hands-on approach to learning about the cultural and NAtural history of the St Louis River watershed, to cultivate a life-long sense of stewardship toward the river and the river communities, to collect and interpret baseline water quality data using sound scientific techniques to share water quality information with state and local communities in a variety of ways such as the media, brochures, and public presentations to encourage citizen participation in reaching the long-range maNAgement goals for the river to collaborate with other agencies and groups on watershed related studies",Both,North America,NGO,North America,1992,Ongoing,<100 km,Freshwater,Macroinvertebrates,No,NA,NA,Some,Specimen collection,Some,All,Unknown,Unknown,800,2011,Students & teachers,Yes,"bookelet, in-person",combo,Yes,online resources,electronic,0,Unknown,NA,NA,EPA,2012-04-05
Stanford Bioblitz 2011,Stanford SEEDS BioBlitz an all-day biotic survey of organisms living at Lake Lag and the surrounding area,Data,North America,Academic,North America,2011,2011,<10 km,"Terrestrial, freshwater",Everything,No,NA,NA,None,NA,Some,Unknown,Unknown,Unknown,4,2011,"Students, teachers, and locals",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,NA,http://www.iNaturalist.org/projects/stanford-bioblitz-2011,iNaturalist,2012-05-16
State of the Oyster,Study of bacterial contamination in recreational shellfish on privately owned beaches in Hood Canal and Puget Sound,Data,North America,Academic,North America,1987,Ongoing,<1000 km,Marine,"Oysters, clams",No,water quality: measures bacteria and fecal matter,NA,All,Specimen collection,None,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online,electronic,Yes,online,electronic,0,Unknown,NA,http://www.wsg.washington.edu/mas/ecohealth/state_of_oyster.html,Scistarter,2012-04-20
Staunton River Watch ,"Was formed after several incidents caused local citizens to be concerned about who was watching out for the Staunton River, which is located in the Roanoke River watershed and is the section of the Roanoke River from Smith Mountain Lake to the Kerr Reservoir",Data,North America,NGO,North America,1995,Unknown,Unknown,Freshwater,Macroinvertebrates,No,NA,NA,Unknown,NA,None,Unknown,Unknown,Unknown,10,2002,Unknown,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://stauntonriverwatch.com/,EPA,2012-03-30
STE - Scuba Tourism for the Environment - Red Sea Monitoring Program,"1) Involve dive tourists in the collection of data on marine biodiversity in the Red Sea, 2) Promoting environmental education by increasing public awareness of wildlife visitors, 3) Support the local authorities in maNAging the conservation efforts of of the ecosystem, 4) Provide a contribution to the development of a sustaiNAble tourism",Both,"Red Sea-Africa, Europe, Asia",Academic,Oceania,2006,Ongoing,<10000 km,Marine,Everything ,No,NA,NA,Unknown,Other,Some,None,17552,3,5314,2010,Scuba diver toursits,Yes,in-person - briefs and brochures,combo,Yes,"hard copy, online",combo,1,Unknown,NA,http://www.steproject.org/,Scistarter,2012-02-06
Streamkeepers of Clallam County ,"Provide credible data useful to decision-makers acting to protect and restore local watersheds: Describe current watershed conditions Identify trends in watershed conditions Track known problem areas Screen for potential problems   Help to determine watershed restoration priorities   Monitor the effectiveness of watershed restoration projects Report the information collected to fellow volunteers, County resource planners, other agencies and organizations, and the general public, on a regular and timely basis Facilitate public involvement in watershed monitoring and stewardship",Both,North America,Government,North America,1999,Ongoing,<100 km,"Marine, estuary, freshwater, terrestrial","Bacteria, birds, fecal coliform, fish,  macroinvertebrates, plants",Some,NA,NA,Unknown,NA,All,All,Unknown,Unknown,181,2009,Anyone interested,Yes,workshop,in-person,Yes,"workshop, web resources",combo,0,Unknown,NA,http://www.clallam.net/streamkeepers/html/volunteer_handbook.htm,EPA,2012-04-11
StreamWatch ,Supplies data to the community to help facilitate wise maNAgement of streams and rivers,Data,North America,NGO,North America,2002,Ongoing,<1000 km,Freshwater,Macroinvertebrates,No,NA,NA,All,Speciman collected & expert present,Some,None,Unknown,Unknown,150,2009,Anyone interested,Yes,in-person & online,combo,Yes,in-person & online,combo,0,Yes,"Volunteers undergo certification, which entails a test of skills and understanding",http://streamwatch.org/,EPA,2012-04-13
Summer Wild Turkey Sighting Survey,"This index allows us to gauge reproductive success in a given year and allows us to predict fall harvest potential Weather, predation, and habitat conditions during the breeding and brood-rearing seasons can all significantly impact nest success, hen survival, and poult survival",Data,North America,Government,North America,1996,Ongoing,<1000 km,Terrestrial,Turkey,No,poults per hen,NA,None,NA,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online instructions,electronic,No,NA,NA,0,Unknown,NA,http://www.dec.ny.gov/animals/48732.html,Cornell Citizen Science Central,2012-05-25
Summit County Citizen Science Inventory,"This on-going citizen science project aims to catalogue the biodiveristy of the greater Summit County area of Ohio, including Summit, Cuyahoga, Geauga, Portage, Stark, Wayne and MediNA counties and including the Cuyahoga and Tuscarawas River watersheds",Data,North America,Individual,North America,2012,Ongoing,<100 km,"Terrestrial, freshwater","Plants, animals",No,NA,NA,Some,Photo,All,None,25,1,35,2011,Anyone interested,No,NA,NA,Yes,Links to wikipedia & photos,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/summit-county-citizen-science-inventory,iNaturalist,2012-05-18
Superior Lakewatch ,"Citizen-based monitoring program for the nearshore waters of Lake Superior, operating in Minnesota, Wisconsin, Michigan, and Ontario, CaNAda",Data,North America,"NGO, Academic",North America,1991,Unknown,Unknown,Freshwater,Algae,No,chlorophyll,NA,Unknown,NA,Unknown,Unknown,Unknown,Unknown,60,2002,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,NA,none,NA,
Texas Turtle Watch,Collect data on three NAtive turtle species whose population numbers are poorly understood,Data,North America,"Academic, Government, Other ",North America,2010,Ongoing,<10000 km,"Terrestrial, freshwater",Turtles,No,NA,NA,Some,Photo,None,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"printouts, online pdf protocol",electronic,Yes,pdfs and electronic paragraphs and pictures,electronic,0,Yes,Classroom curriculum provided,http://www.fortworthzoo.org/conservation/fort-worth-zoo-conservation-highlights/texas-turtle-watch/,Scistarter,2012-02-13
The Appalachian Trail Citizen Science Project,It is an excellent venue to learn about the nature that encompasses us It is also an opportunity to continue to foster a trail community and to talk about something other than gear or food or blisters,Both,North America,Individual,North America,2012,Ongoing,<1000 km,Terrestrial,"Plants, animals",Some,NA,NA,Some,Photo,All,None,2,1,2,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/the-appalachian-trail-citizen-science-project,iNaturalist,2012-05-25
The Bay Area’s Most Wanted Spider,"Documenting the current distriubution of Zoropsis spinimaNA spiders in the Bay Area, Mapping the spread of these invasive spiders, and allowing the community to experience scientific discovery firsthand",Both,North America,NGO,North America,Unknown,Unknown,<1000 km,Terrestrial, Zoropsis spinimana,Yes,NA,NA,All,Photo or specimen collection,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,video on web,electronic,Yes,web resources,electronic,0,Unknown,NA,http://www.calacademy.org/science/citizen_science/spider/,Scistarter,2012-03-03
The Great Salt Lake ,ID birds in Great Salt Lake,Data,North America,Private,North America,2012,Ongoing,<100 km,Estuarine,"Birds, plants",No,NA,NA,All,Photo,All,None,3,1,3,2012,Anyone interested,No,NA,NA,Yes,online link,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/the-great-salt-lake--2,iNaturalist,2012-05-24
The Great Sunflower Project,"To gather information about our urban, suburban and rural bee populations and to give you the tools to learn about what is happening with the pollinators in your yard ",Both,North America,Academic,North America,2008,Ongoing,<10000 km,Terrestrial,Bees,No,NA,NA,Some,Photo,None,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online directions,electronic,Yes,webpage resources,electronic,0,Unknown,NA,http://www.greatsunflower.org,Scistarter,2012-03-04
The Juvenile Lobster Monitoring Program,To measure the health and productivity of lobster nursery habitats over space and time,Data,North America,NGO,North America,1995,Unknown,<1000 km,Marine,"Lobster, seaweed and other marine organisms",No,"size, sex, shell condition, and number of missing appendages for lobsters",NA,None,NA,Some,All,100,Unknown,Unknown,Unknown,Application required,Yes,Unknown,NA,Unknown,NA,NA,2,Yes,Written and practical tests,http://lobsters.org/volunt/volunteer.html,Scistarter,2012-03-03
The Lost Ladybug Project,We're asking you to join us in finding out where all the ladybugs have gone so we can try to prevent more NAtive species from becoming so rare,Data,North America,Academic,North America,2004,Ongoing,<10000 km,Terrestrial,Ladybugs,No,NA,NA,All,Photo,Some,Some,3000,6,1000,2008,Anyone interested,Yes,online directions,electronic,Yes,online photos and keys,electronic,0,Unknown,NA,http://www.lostladybug.org,Scistarter,2012-03-04
The Photographic Survey of Flower Visitors,Aim is to measure temporal and spatial variations of diversity of insect visiting flower at a country-wide scale,Data,Europe,"NGO, Government",Europe,2010,Ongoing,<10000 km,Terrestrial,"Plants, insects",No,NA,NA,All,Photo,Some,Unknown,582,Unknown,582,2010,Anyone interested,Yes,webpage instructions,electronic,Yes,webpage photos,electronic,0,Unknown,NA,http://www.spipoll.org/,Cornell Citizen Science Central,2012-05-18
The Sampled Red List Index for Plants,"The Sampled Red List Index for Plants (SRLI) project is a major global monitoring scheme that is helping us to understand the threat status of plants around the world and how that is changing over time By assessing a sample of 7,500 of the world’s plant species we made an estimate in 2010 that 1 in 5 plants are threatened with extinction You can now help a major scientific project by sending in observations of SRLI plants to help us understand more about their status and to help highlight those species in most need of conservation attention ",Data,North America,NGO,Global,2011,Ongoing,>10000 km,Terrestrial,Plants,No,NA,NA,All,Photo,All,None,12,2,3,2012,Anyone interested,Yes,online instructions,electronic,Yes,online links,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/the-sampled-red-list-index-for-plants,iNaturalist,2012-05-24
The Wildlife Health Event Reporter,"WHER is a web-based application launched to record wildlife observations by citizens concerned about dead or sick wildlife The data are integrated and summarized by the system to provide essential information for better understanding wildlife disease patterns and their potential impact on wildlife, human, and domestic animal health",Data,North America,"Academic, Government",Global,2008,Ongoing,>10000 km,"Terrestrial, marine, estuarine, freshwater",Animals,No,NA,NA,Some,Specimen collection,All,None,Unknown,Unknown,Unknown,Unknown,"Anyone interested, with compute",Yes,video and instructions on the web,electronic,No,NA,NA,0,Unknown,NA,http://www.whmn.org,Scistarter,2012-02-15
The wildlife of your home project,To test document microbial organisms on humans and in their homes,Data,North America,Multiple,North America,2011,Ongoing,Unknown,Terrestrial,Microbes,No,NA,NA,All,Specimen collection,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,kit,hard copy,No,NA,NA,0,Unknown,NA,http://www.yourwildlife.org/projects/wild-life-of-our-homes/,Scientific American,
Tracking the Wild Invasives,We want to identify areas where removal of invasive species will allow us to prevent them from spreading into un-invaded communities so that we can schedule trail crew work there,Data,North America,Academic,North America,2006,Ongoing,Unknown,Terrestrial,Plants,Yes,NA,NA,All,Photo,Unknown,All,100,1,100,2011,Anyone interested,Yes,in-person and web resources,combo,Yes,in-person and web resources,combo,0,Unknown,NA,http://trails.rutgers.edu/,Cornell Citizen Science Central,2012-05-18
TreeWatch,"Promote public learning and engagement with trees, the environment, and environmental change
    Create and maintain a registry of trees across Europe to monitor their growth and health
    Contribute to scientific understanding of the impacts of environmental stress on tree health
    Develop an interNAtioNAl volunteer network that could function as an early warning system of new threats to trees
",Both,Europe,NGO,Europe,2010,Ongoing,<10000 km,Terrestrial,Trees,No,NA,NA,Some,Photo,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,Unknown,Unknown,Yes,online,electronic,0,Unknown,NA,http://www.sylva.org.uk/treewatch/index.php,Scistarter,2012-02-15
United Kingdom Butterfly Monitoring Scheme,"The project's mission is to assess the status and trends of United Kingdom butterfly populations for conservation, research, and quality of life",Data,Europe,"Government, NGO",Europe,1976,Ongoing,<10000 km,Terrestrial,Butterflies,No,NA,NA,None,NA,All,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online directions,electronic,Yes,"online links, photos",electronic,69,Unknown,NA,http://www.ukbms.org,Scistarter,2012-02-15
Upper Chattahoochee Riverkeeper ,Upper Chattahoochee Riverkeeper monitors streams within the Chattahoochee River Basin using a watershed approach We assist smaller sub-basin watershed groups with their monitoring programs,Both,North America,NGO,North America,1995,Ongoing,Unknown,Freshwater,"Plants, bacteria, macroinvertebrates, animals",No,NA,NA,All,Specimen collection,Unknown,All,Unknown,Unknown,2800,2009,Anyone interested,Unknown,NA,Unknown,Unknown,NA,Unknown,0,Unknown,NA,http://www.ucriverkeeper.org/volunteer.php,EPA,2012-04-11
Upper Etowah Adopt-A-Stream ,"Workshops to teach citizen volunteers visual, chemical, and macroinvertebrate monitoring skills Specific water quality data collection to verify 303(d) listings and locate sources of pollution for TMDL implementation Our mission is education, especially focusing on water quality and nonpoint source pollution We accomplish this mission through workshops, presentations, brochures and on the ground demonstration projects",Education,North America,NGO,North America,1997,Ongoing,<1000 km,Freshwater,"Fecal coliform, macroinvertebrates",No,NA,NA,Unknown,NA,None,Unknown,Unknown,Unknown,6,2009,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.etowahriver.org/,EPA,2012-04-12
Upper Merrimack Monitoring Program,Monitor water quality on Merrimack river,Data,North America,NGO,North America,1995,Ongoing,<100 km,Freshwater,"Macroinvertebrates, E. coli",No,NA,NA,All,Specimen collection,Some,All,100,17,Unknown,Unknown,Anyone interested,Yes,webpage instructions and in-person training,combo,Yes,webpage instructions and in-person training,combo,0,Unknown,NA,http://www.merrimackriver.org/programs/,Cornell Citizen Science Central,2012-05-18
Urban Tree Survey,"The aim of the survey is to locate, identify and count trees in streets, parks and gardens across the UK We are asking the general public to take part for two important reasons:

    a project of this size needs many people to contribute for the data to be useful
    only you can give us information about the trees in your gardens and neighbourhoods",Data,Europe,NGO,Europe,2010,Ongoing,<10000 km,Terrestrial,Trees,No,NA,NA,Some,Photo,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online only,electronic,Yes,online,electronic,0,Unknown,NA,http://www.nhm.ac.uk/nature-online/british-NAtural-history/urban-tree-survey/,Scistarter,2012-02-14
"Urban Watch Program, First Flush Event (Dry season storm drain monitoring) ","CWC operates four core programs annually, SNApshot Day, Clean Streams, Urban Watch, and First Flush The SNApshot Day event and the ongoing Clean Streams program both monitor water quality in stream habitats, while the Urban Watch program and the First Flush event monitor urban run-off from roads and paved surfaces, entering our local streams and the Monterey Bay",Both,North America,NGO,North America,1996,Ongoing,<100 km,"Marine, estuarine, freshwater","Bacteria, fecal coliform, macroinvertebrates",Yes,NA,NA,Some,Specimen collection,All,All,Unknown,Unknown,130,2009,Anyone interested,Yes,events,in-person,Yes,events,in-person,0,Unknown,NA,http://www.coastal-watershed.org/,EPA,2012-04-13
URI Watershed Watch,To promote active citizen participation in water quality protectionTo educate the public about water quality issues To obtain multi-year surface water quality information in order to ascertain current conditions and to detect trends To encourage sound maNAgement programs based upon water quality information,Data,North America,"Academic, Government",North America,1988,Ongoing,<100 km,"Freshwater, marine, estuarine","Bacteria, algae",No,water quality; chlorophyll content,NA,All,Specimen collection,Some,Some,250,14,Unknown,Unknown,"Anyone interested who can pay, attend training and meet time comittments",Yes,online and in-person,combo,Yes,online and in-person,combo,0,Unknown,NA,http://www.uri.edu/ce/wq/ww/index.htm,Cornell Citizen Science Central,2012-05-18
Vanessa Migration Project,"The Vanessa Migration Project is a citizen science program that has been active since April 2001 as part of the Red Admiral and Painted Lady Research Site Citizen observers in North America report their sightings of date, location, flight direction, and other activity of four butterflies of the genus Vanessa (V atalanta,V cardui, V virginiensis, and V anNAbella) Objectives include 1) monitoring butterflies and their yearly seasoNAl distribution; 2) tracking migrations and outbreaks; and 3) studying effects of weather and climatic patterns on butterfly activity",Data,North America,Academic,North America,2001,Ongoing,<10000 km,Terrestrial,Butterflies,No,NA,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,website instructions,electronic,Yes,website instructions,electronic,0,Unknown,NA,http://vanessa.ent.iastate.edu/,Cornell Citizen Science Central,2012-05-25
Vital Signs: Maine's invasive species,Vital Signs (wwwvitalsignsmeorg) brings scientists and novices together to investigate species - particularly invasive species - in Maine,Both,North America,NGO,North America,Unknown,Ongoing,<1000 km,"Terrestial, freshwater, marine",Invasive plants and animals,Yes,NA,NA,Some,Photo,All,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online material,electronic,Yes,online material,electronic,0,Unknown,NA,http://vitalsignsme.org/start,Scistarter,2012-05-04
Volunteer Field Observer,"To train volunteers to serve as citizen scientists, documenting shoreline conditions along Alabama's shoreline using GPS coordiNAtes and alerting officials and COAST partners to the presence of oil and/or affected wildlife",Data,North America,NGO,North America,2010,Unknown,<1000 km,"Shoreline, marine",Animals,No,affected by oil spill,NA,Unknown,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Must be over 18 years of age & attend training,Yes,online,electronic,Unknown,NA,NA,0,Unknown,NA,http://joinacf.org/,Scientific American,
Waquoit Bay National Estuarine Research Reserve Waquoit Bay Baywatchers,"To conduct long-term, year-round water quality monitoring of Waquoit Bay and its tributaries We produce a bi-annual newsletter, The Caper, for Cape Cod citizen volunteer water quality monitoring groups",Both,North America,Government ,North America,1993,Ongoing,Unknown,Marine,Algae,No,chlorophyll concentration,NA,Unknown,NA,All,Unknown,Unknown,Unknown,7,2002,Unknown,Yes,in-person,in-person,Unknown,NA,NA,0,Unknown,NA,http://www.waquoitbayreserve.org/opportunities.shtml,EPA,
Watch for Robins!,"Tracking the presence of American robins to compare observations with other environmental data, including climate and weather changes",Data,North America,Unknown,North America,Unknown,Unknown,Unknown,Terrestrial,American robin,No,What is it doing? What is it eating? Is it near other birds?,NA,Unknown,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,http://Scistarter.com/project/460-Watch%20for%20Robins%21,Scistarter,2012-02-10
Watch the Wild,"Nature Abounds announces Watch the Wild™, a program where citizen science volunteers observe and report on the “wild” in your community, from trees and plants to weather and wildlife activity By monitoring the ""wild"", observations can help us to understand how our eco-systems are changing and aids us in adapting for the future Goals- research, education",Both,North America,NGO,North America,2010,Ongoing,Unknown,"Freshwater, marine, terrestrial","Animals, plants",No,NA,NA,Some,Photo,Unknown,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online material,electronic,No,NA,NA,0,Unknown,NA,http://www.natureabounds.org/Watch_the_Wild.html,Cornell Citizen Science Central,2012-05-16
Water Action Volunteers Citizen Stream Monitoring ,"Water Action Volunteers (WAV) is a statemwide program for Wisconsin citizens who want to learn about and improve the quality of Wisconsin's streams and rivers Citizen stream monitoring was initiated in 1996 ProfessioNAls from the University of Wisconsin-Extension, the Department of NAtural Resources, the UW System, counties, high schools, and interest groups worked towgether to develop the program We help Wisconsin citizens become more involved with their streams and rivers through a voluntary program that monitors ecosystem health, shares data for educatioNAl purposes, provides a network for volunteers, and increases linkages between the volunteers and public resource protection programs",Both,North America,"Government, Academic",North America,1996,Ongoing,<1000 km,Freshwater,Macroinvertebrates,No,NA,NA,None,NA,All,All,Unknown,Unknown,800,2003,Anyone interested,Yes,manual online & expert,combo,Yes,manual online & expert,combo,0,Unknown,NA,http://watermonitoring.uwex.edu/wav/monitoring/index.html,EPA,2012-04-03
Water Quality Monitoring ,"Educate the local community about water quality issues and encourage protection of water quality
    Establish baseline data where no other data exists
    Document water quality changes over time (trends in water quality)
    Identify potential water quality problems
    Provide a scientific basis for making decisions on watershed maNAgement
    Provide information to evaluate the effectiveness of BMPs (Best MaNAgement Practices)
    Determine the impact of land use activity (urban, industrial, agricultural, etc)
    Supplement water quality data collected by agencies
",Both,North America,NGO,North America,Unknown,Ongoing,<100 km,Freshwater,"Fish, macroinvertebrates",No,NA,NA,None,NA,None,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,online materials,electronic,Unknown,NA,Unknown,0,Unknown,NA,http://www.ncnr.org/monitoring.php,EPA,2012-04-13
West Maui Mountains Watershed Partnership ,Unknown,Data,North America,NGO,North America,1995,Ongoing,Unknown,"Marine, estuary","Plants, algae",Some,NA,NA,Unknown,NA,Unknown,Unknown,Unknown,Unknown,72,2009,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.westmauiwatershed.org/,EPA,2012-04-11
West Virginia Breeding Bird Atlas II,"Document the current distribution of breeding birds in West Virginia Compare data to and access changes in the distributions of West Virginia’s breeding birds since the first Atlas Collect information on rare species and species of concern Identify priority habitats that support species of concern and/or a high diversity of species Provide an accurate measure of abundance for breeding birds in West Virginia Provide data for use in environmental assessments Bring together birders, bird conservation groups and recruit new birders statewide ",Data,North America,Academic,North America,2009,2014,<1000 km,Multiple,Birds,Some,NA,NA,Unknown,NA,Some,Some,Opportunistic,254,3,Unknown,Anyone interested,Yes,internet instructions,internet instructions,Yes,electronic,electronic,0,Unknown,NA,http://martes.dnr.state.wv.us/BreedingBirdsAtlas/BecomeVol/BecomeVol.aspx,NA,2012-01-31
Westchester Citizens Volunteer Monitoring Program,In order to create a baseline of water quality data on both lotic (streams and rivers) and lentic (ponds and lakes) waterbodies throughout Westchester County and to make this water quality data accessible to the public,Data,North America,Government,North America,2003,Ongoing,<1000 km,Freshwater,Macroinvertebrates ,No,NA,NA,Unknown,NA,Some,Unknown,300,7,Unknown,Unknown,Anyone interested,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,NA,"http://planning.westchestergov.com/index.php?option=com_content&task=view&id=2498&Itemid=4401, http://planning.westchestergov.com/about-cvmp",EPA,2012-04-13
